Some weights of BertForSequenceClassification were not initialized from the model checkpoint at ahmedrachid/FinancialBERT and are newly initialized: ['classifier.weight', 'bert.pooler.dense.bias', 'bert.pooler.dense.weight', 'classifier.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
You're using a BertTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
{'loss': 0.3459, 'learning_rate': 1.4e-05, 'epoch': 0.19}
{'loss': 0.3515, 'learning_rate': 1.4666666666666666e-05, 'epoch': 0.19}
{'loss': 0.2455, 'learning_rate': 1.5333333333333334e-05, 'epoch': 0.2}
{'loss': 0.2953, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.21}
{'loss': 0.5098, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.22}
{'loss': 0.3679, 'learning_rate': 1.7333333333333336e-05, 'epoch': 0.23}
{'loss': 0.3572, 'learning_rate': 1.8e-05, 'epoch': 0.24}
{'loss': 0.2611, 'learning_rate': 1.866666666666667e-05, 'epoch': 0.25}
{'loss': 0.4039, 'learning_rate': 1.9333333333333333e-05, 'epoch': 0.26}
{'loss': 0.3789, 'learning_rate': 2e-05, 'epoch': 0.27}
{'loss': 0.371, 'learning_rate': 1.9935337859683157e-05, 'epoch': 0.27}
{'loss': 0.2774, 'learning_rate': 1.9870675719366313e-05, 'epoch': 0.28}
{'loss': 0.2157, 'learning_rate': 1.980601357904947e-05, 'epoch': 0.29}
{'loss': 0.4044, 'learning_rate': 1.9741351438732624e-05, 'epoch': 0.3}
{'loss': 0.4668, 'learning_rate': 1.967668929841578e-05, 'epoch': 0.31}
{'loss': 0.3681, 'learning_rate': 1.9612027158098935e-05, 'epoch': 0.32}
{'loss': 0.4047, 'learning_rate': 1.954736501778209e-05, 'epoch': 0.33}
{'loss': 0.2521, 'learning_rate': 1.9482702877465246e-05, 'epoch': 0.34}
{'loss': 0.2655, 'learning_rate': 1.9418040737148402e-05, 'epoch': 0.34}
{'loss': 0.3512, 'learning_rate': 1.9353378596831554e-05, 'epoch': 0.35}
{'loss': 0.4008, 'learning_rate': 1.928871645651471e-05, 'epoch': 0.36}
{'loss': 0.2798, 'learning_rate': 1.922405431619787e-05, 'epoch': 0.37}
{'loss': 0.2419, 'learning_rate': 1.9159392175881024e-05, 'epoch': 0.38}
{'loss': 0.2948, 'learning_rate': 1.909473003556418e-05, 'epoch': 0.39}
{'loss': 0.4147, 'learning_rate': 1.9030067895247336e-05, 'epoch': 0.4}
{'loss': 0.3735, 'learning_rate': 1.896540575493049e-05, 'epoch': 0.41}
{'loss': 0.3331, 'learning_rate': 1.8900743614613647e-05, 'epoch': 0.42}
{'loss': 0.3225, 'learning_rate': 1.8836081474296802e-05, 'epoch': 0.42}
{'loss': 0.4065, 'learning_rate': 1.8771419333979958e-05, 'epoch': 0.43}
{'loss': 0.3305, 'learning_rate': 1.8706757193663114e-05, 'epoch': 0.44}
{'loss': 0.2914, 'learning_rate': 1.864209505334627e-05, 'epoch': 0.45}
{'loss': 0.3199, 'learning_rate': 1.857743291302942e-05, 'epoch': 0.46}
{'loss': 0.3251, 'learning_rate': 1.8512770772712577e-05, 'epoch': 0.47}
{'loss': 0.3128, 'learning_rate': 1.8448108632395733e-05, 'epoch': 0.48}
{'loss': 0.2839, 'learning_rate': 1.8383446492078888e-05, 'epoch': 0.49}
{'loss': 0.2812, 'learning_rate': 1.8318784351762044e-05, 'epoch': 0.5}
{'loss': 0.343, 'learning_rate': 1.82541222114452e-05, 'epoch': 0.5}
{'loss': 0.3181, 'learning_rate': 1.8189460071128355e-05, 'epoch': 0.51}
{'loss': 0.2849, 'learning_rate': 1.812479793081151e-05, 'epoch': 0.52}
{'loss': 0.2691, 'learning_rate': 1.8060135790494666e-05, 'epoch': 0.53}
{'loss': 0.3939, 'learning_rate': 1.799547365017782e-05, 'epoch': 0.54}
{'loss': 0.3977, 'learning_rate': 1.7930811509860977e-05, 'epoch': 0.55}
{'loss': 0.2599, 'learning_rate': 1.7866149369544133e-05, 'epoch': 0.56}
{'loss': 0.2312, 'learning_rate': 1.780148722922729e-05, 'epoch': 0.57}
{'loss': 0.2132, 'learning_rate': 1.7736825088910444e-05, 'epoch': 0.57}
{'loss': 0.3501, 'learning_rate': 1.76721629485936e-05, 'epoch': 0.58}
{'loss': 0.2212, 'learning_rate': 1.7607500808276755e-05, 'epoch': 0.59}
{'loss': 0.3735, 'learning_rate': 1.754283866795991e-05, 'epoch': 0.6}
{'loss': 0.3002, 'learning_rate': 1.7478176527643066e-05, 'epoch': 0.61}
{'loss': 0.2572, 'learning_rate': 1.7413514387326222e-05, 'epoch': 0.62}
{'loss': 0.2654, 'learning_rate': 1.7348852247009378e-05, 'epoch': 0.63}
{'loss': 0.3562, 'learning_rate': 1.7284190106692533e-05, 'epoch': 0.64}
{'loss': 0.3068, 'learning_rate': 1.721952796637569e-05, 'epoch': 0.65}
{'loss': 0.3542, 'learning_rate': 1.7154865826058844e-05, 'epoch': 0.65}
{'loss': 0.3303, 'learning_rate': 1.7090203685742e-05, 'epoch': 0.66}
{'loss': 0.286, 'learning_rate': 1.7025541545425156e-05, 'epoch': 0.67}
{'loss': 0.2498, 'learning_rate': 1.696087940510831e-05, 'epoch': 0.68}
{'loss': 0.2891, 'learning_rate': 1.6896217264791467e-05, 'epoch': 0.69}
{'loss': 0.4788, 'learning_rate': 1.6831555124474622e-05, 'epoch': 0.7}
{'loss': 0.2668, 'learning_rate': 1.6766892984157778e-05, 'epoch': 0.71}
{'loss': 0.3155, 'learning_rate': 1.6702230843840934e-05, 'epoch': 0.72}
{'loss': 0.2764, 'learning_rate': 1.6637568703524086e-05, 'epoch': 0.73}
{'loss': 0.312, 'learning_rate': 1.657290656320724e-05, 'epoch': 0.73}
{'loss': 0.2266, 'learning_rate': 1.6508244422890397e-05, 'epoch': 0.74}
{'loss': 0.3192, 'learning_rate': 1.6443582282573553e-05, 'epoch': 0.75}
{'loss': 0.3003, 'learning_rate': 1.6378920142256708e-05, 'epoch': 0.76}
{'loss': 0.4007, 'learning_rate': 1.6314258001939867e-05, 'epoch': 0.77}
{'loss': 0.2185, 'learning_rate': 1.6249595861623023e-05, 'epoch': 0.78}
{'loss': 0.1985, 'learning_rate': 1.618493372130618e-05, 'epoch': 0.79}
{'loss': 0.2732, 'learning_rate': 1.6120271580989334e-05, 'epoch': 0.8}
{'loss': 0.2068, 'learning_rate': 1.605560944067249e-05, 'epoch': 0.8}
{'loss': 0.2357, 'learning_rate': 1.5990947300355645e-05, 'epoch': 0.81}
{'loss': 0.3152, 'learning_rate': 1.59262851600388e-05, 'epoch': 0.82}
{'loss': 0.2652, 'learning_rate': 1.5861623019721953e-05, 'epoch': 0.83}
{'loss': 0.3183, 'learning_rate': 1.579696087940511e-05, 'epoch': 0.84}
{'loss': 0.2692, 'learning_rate': 1.5732298739088264e-05, 'epoch': 0.85}
{'loss': 0.1967, 'learning_rate': 1.566763659877142e-05, 'epoch': 0.86}
{'loss': 0.2788, 'learning_rate': 1.5602974458454575e-05, 'epoch': 0.87}
{'loss': 0.2685, 'learning_rate': 1.553831231813773e-05, 'epoch': 0.88}
{'loss': 0.3266, 'learning_rate': 1.5473650177820886e-05, 'epoch': 0.88}
{'loss': 0.3251, 'learning_rate': 1.5408988037504042e-05, 'epoch': 0.89}
{'loss': 0.3834, 'learning_rate': 1.5344325897187198e-05, 'epoch': 0.9}
{'loss': 0.3483, 'learning_rate': 1.5279663756870353e-05, 'epoch': 0.91}
{'loss': 0.3731, 'learning_rate': 1.5215001616553509e-05, 'epoch': 0.92}
{'loss': 0.3099, 'learning_rate': 1.5150339476236664e-05, 'epoch': 0.93}
{'loss': 0.284, 'learning_rate': 1.508567733591982e-05, 'epoch': 0.94}
{'loss': 0.3092, 'learning_rate': 1.5021015195602976e-05, 'epoch': 0.95}
{'loss': 0.3441, 'learning_rate': 1.495635305528613e-05, 'epoch': 0.95}
{'loss': 0.2512, 'learning_rate': 1.4891690914969285e-05, 'epoch': 0.96}
{'loss': 0.3389, 'learning_rate': 1.4827028774652442e-05, 'epoch': 0.97}
{'loss': 0.3694, 'learning_rate': 1.4762366634335598e-05, 'epoch': 0.98}
{'loss': 0.237, 'learning_rate': 1.4697704494018754e-05, 'epoch': 0.99}
{'loss': 0.3008, 'learning_rate': 1.463304235370191e-05, 'epoch': 1.0}
{'eval_loss': 0.25762614607810974, 'eval_runtime': 134.307, 'eval_samples_per_second': 23.766, 'eval_steps_per_second': 1.489, 'epoch': 1.0}
{'loss': 0.1144, 'learning_rate': 1.4568380213385065e-05, 'epoch': 1.01}
{'loss': 0.1123, 'learning_rate': 1.450371807306822e-05, 'epoch': 1.02}
{'loss': 0.2546, 'learning_rate': 1.4439055932751376e-05, 'epoch': 1.03}
{'loss': 0.1073, 'learning_rate': 1.4374393792434532e-05, 'epoch': 1.03}
{'loss': 0.2117, 'learning_rate': 1.4309731652117687e-05, 'epoch': 1.04}
{'loss': 0.127, 'learning_rate': 1.4245069511800843e-05, 'epoch': 1.05}
{'loss': 0.0845, 'learning_rate': 1.4180407371483997e-05, 'epoch': 1.06}
{'loss': 0.0774, 'learning_rate': 1.4115745231167152e-05, 'epoch': 1.07}
{'loss': 0.0967, 'learning_rate': 1.4051083090850308e-05, 'epoch': 1.08}
{'loss': 0.1483, 'learning_rate': 1.3986420950533463e-05, 'epoch': 1.09}
{'loss': 0.2193, 'learning_rate': 1.3921758810216619e-05, 'epoch': 1.1}
{'loss': 0.114, 'learning_rate': 1.3857096669899775e-05, 'epoch': 1.11}
{'loss': 0.3407, 'learning_rate': 1.379243452958293e-05, 'epoch': 1.11}
{'loss': 0.1288, 'learning_rate': 1.3727772389266086e-05, 'epoch': 1.12}
{'loss': 0.1068, 'learning_rate': 1.3663110248949241e-05, 'epoch': 1.13}
{'loss': 0.0909, 'learning_rate': 1.3598448108632395e-05, 'epoch': 1.14}
{'loss': 0.1995, 'learning_rate': 1.3533785968315551e-05, 'epoch': 1.15}
{'loss': 0.1805, 'learning_rate': 1.3469123827998707e-05, 'epoch': 1.16}
{'loss': 0.1623, 'learning_rate': 1.3404461687681862e-05, 'epoch': 1.17}
{'loss': 0.1921, 'learning_rate': 1.333979954736502e-05, 'epoch': 1.18}
{'loss': 0.1122, 'learning_rate': 1.3275137407048175e-05, 'epoch': 1.18}
{'loss': 0.1591, 'learning_rate': 1.321047526673133e-05, 'epoch': 1.19}
{'loss': 0.1797, 'learning_rate': 1.3145813126414486e-05, 'epoch': 1.2}
{'loss': 0.1799, 'learning_rate': 1.3081150986097642e-05, 'epoch': 1.21}
{'loss': 0.1016, 'learning_rate': 1.3016488845780797e-05, 'epoch': 1.22}
{'loss': 0.1205, 'learning_rate': 1.2951826705463953e-05, 'epoch': 1.23}
{'loss': 0.1784, 'learning_rate': 1.2887164565147109e-05, 'epoch': 1.24}
{'loss': 0.1393, 'learning_rate': 1.2822502424830262e-05, 'epoch': 1.25}
{'loss': 0.2007, 'learning_rate': 1.2757840284513418e-05, 'epoch': 1.26}
{'loss': 0.1666, 'learning_rate': 1.2693178144196574e-05, 'epoch': 1.26}
{'loss': 0.2825, 'learning_rate': 1.262851600387973e-05, 'epoch': 1.27}
{'loss': 0.2228, 'learning_rate': 1.2563853863562885e-05, 'epoch': 1.28}
{'loss': 0.1289, 'learning_rate': 1.249919172324604e-05, 'epoch': 1.29}
{'loss': 0.0544, 'learning_rate': 1.2434529582929196e-05, 'epoch': 1.3}
{'loss': 0.1758, 'learning_rate': 1.2369867442612352e-05, 'epoch': 1.31}
{'loss': 0.0694, 'learning_rate': 1.2305205302295507e-05, 'epoch': 1.32}
{'loss': 0.1117, 'learning_rate': 1.2240543161978661e-05, 'epoch': 1.33}
{'loss': 0.1253, 'learning_rate': 1.2175881021661817e-05, 'epoch': 1.34}
{'loss': 0.1141, 'learning_rate': 1.2111218881344972e-05, 'epoch': 1.34}
{'loss': 0.1817, 'learning_rate': 1.2046556741028128e-05, 'epoch': 1.35}
{'loss': 0.0617, 'learning_rate': 1.1981894600711284e-05, 'epoch': 1.36}
{'loss': 0.1651, 'learning_rate': 1.1917232460394439e-05, 'epoch': 1.37}
{'loss': 0.1448, 'learning_rate': 1.1852570320077596e-05, 'epoch': 1.38}
{'loss': 0.1929, 'learning_rate': 1.1787908179760752e-05, 'epoch': 1.39}
{'loss': 0.181, 'learning_rate': 1.1723246039443908e-05, 'epoch': 1.4}
{'loss': 0.174, 'learning_rate': 1.1658583899127063e-05, 'epoch': 1.41}
{'loss': 0.0732, 'learning_rate': 1.1593921758810219e-05, 'epoch': 1.41}
{'loss': 0.1716, 'learning_rate': 1.1529259618493374e-05, 'epoch': 1.42}
{'loss': 0.0782, 'learning_rate': 1.1464597478176528e-05, 'epoch': 1.43}
{'loss': 0.1285, 'learning_rate': 1.1399935337859684e-05, 'epoch': 1.44}
{'loss': 0.149, 'learning_rate': 1.133527319754284e-05, 'epoch': 1.45}
{'loss': 0.1911, 'learning_rate': 1.1270611057225995e-05, 'epoch': 1.46}
{'loss': 0.1179, 'learning_rate': 1.120594891690915e-05, 'epoch': 1.47}
{'loss': 0.1213, 'learning_rate': 1.1141286776592306e-05, 'epoch': 1.48}
{'loss': 0.2217, 'learning_rate': 1.1076624636275462e-05, 'epoch': 1.49}
{'loss': 0.1041, 'learning_rate': 1.1011962495958617e-05, 'epoch': 1.49}
{'loss': 0.0401, 'learning_rate': 1.0947300355641773e-05, 'epoch': 1.5}
{'loss': 0.217, 'learning_rate': 1.0882638215324927e-05, 'epoch': 1.51}
{'loss': 0.133, 'learning_rate': 1.0817976075008083e-05, 'epoch': 1.52}
{'loss': 0.1767, 'learning_rate': 1.0753313934691238e-05, 'epoch': 1.53}
{'loss': 0.2001, 'learning_rate': 1.0688651794374394e-05, 'epoch': 1.54}
{'loss': 0.1398, 'learning_rate': 1.062398965405755e-05, 'epoch': 1.55}
{'loss': 0.279, 'learning_rate': 1.0559327513740705e-05, 'epoch': 1.56}
{'loss': 0.1906, 'learning_rate': 1.049466537342386e-05, 'epoch': 1.56}
{'loss': 0.1465, 'learning_rate': 1.0430003233107018e-05, 'epoch': 1.57}
{'loss': 0.2509, 'learning_rate': 1.0365341092790173e-05, 'epoch': 1.58}
{'loss': 0.148, 'learning_rate': 1.0300678952473329e-05, 'epoch': 1.59}
{'loss': 0.1459, 'learning_rate': 1.0236016812156485e-05, 'epoch': 1.6}
{'loss': 0.1695, 'learning_rate': 1.017135467183964e-05, 'epoch': 1.61}
{'loss': 0.1545, 'learning_rate': 1.0106692531522794e-05, 'epoch': 1.62}
{'loss': 0.2631, 'learning_rate': 1.004203039120595e-05, 'epoch': 1.63}
{'loss': 0.0775, 'learning_rate': 9.977368250889105e-06, 'epoch': 1.64}
{'loss': 0.0794, 'learning_rate': 9.912706110572261e-06, 'epoch': 1.64}
{'loss': 0.186, 'learning_rate': 9.848043970255416e-06, 'epoch': 1.65}
{'loss': 0.1681, 'learning_rate': 9.783381829938572e-06, 'epoch': 1.66}
{'loss': 0.133, 'learning_rate': 9.718719689621728e-06, 'epoch': 1.67}
{'loss': 0.1745, 'learning_rate': 9.654057549304883e-06, 'epoch': 1.68}
{'loss': 0.0394, 'learning_rate': 9.589395408988039e-06, 'epoch': 1.69}
{'loss': 0.1263, 'learning_rate': 9.524733268671193e-06, 'epoch': 1.7}
{'loss': 0.2139, 'learning_rate': 9.460071128354348e-06, 'epoch': 1.71}
{'loss': 0.0876, 'learning_rate': 9.395408988037504e-06, 'epoch': 1.72}
{'loss': 0.2282, 'learning_rate': 9.330746847720661e-06, 'epoch': 1.72}
{'loss': 0.1799, 'learning_rate': 9.266084707403817e-06, 'epoch': 1.73}
{'loss': 0.1616, 'learning_rate': 9.201422567086972e-06, 'epoch': 1.74}
{'loss': 0.1025, 'learning_rate': 9.136760426770126e-06, 'epoch': 1.75}
{'loss': 0.2329, 'learning_rate': 9.072098286453282e-06, 'epoch': 1.76}
{'loss': 0.1677, 'learning_rate': 9.007436146136438e-06, 'epoch': 1.77}
{'loss': 0.1786, 'learning_rate': 8.942774005819593e-06, 'epoch': 1.78}
{'loss': 0.1264, 'learning_rate': 8.878111865502749e-06, 'epoch': 1.79}
{'loss': 0.2082, 'learning_rate': 8.813449725185904e-06, 'epoch': 1.79}
{'loss': 0.095, 'learning_rate': 8.74878758486906e-06, 'epoch': 1.8}
{'loss': 0.2064, 'learning_rate': 8.684125444552215e-06, 'epoch': 1.81}
{'loss': 0.2438, 'learning_rate': 8.619463304235371e-06, 'epoch': 1.82}
{'loss': 0.1426, 'learning_rate': 8.554801163918527e-06, 'epoch': 1.83}
{'loss': 0.0422, 'learning_rate': 8.490139023601682e-06, 'epoch': 1.84}
{'loss': 0.2238, 'learning_rate': 8.425476883284838e-06, 'epoch': 1.85}
{'loss': 0.073, 'learning_rate': 8.360814742967993e-06, 'epoch': 1.86}
{'loss': 0.186, 'learning_rate': 8.296152602651149e-06, 'epoch': 1.87}
{'loss': 0.2168, 'learning_rate': 8.231490462334305e-06, 'epoch': 1.87}
{'loss': 0.0799, 'learning_rate': 8.166828322017459e-06, 'epoch': 1.88}
{'loss': 0.1501, 'learning_rate': 8.102166181700614e-06, 'epoch': 1.89}
{'loss': 0.1277, 'learning_rate': 8.03750404138377e-06, 'epoch': 1.9}
{'loss': 0.131, 'learning_rate': 7.972841901066925e-06, 'epoch': 1.91}
{'loss': 0.1186, 'learning_rate': 7.908179760750081e-06, 'epoch': 1.92}
{'loss': 0.1528, 'learning_rate': 7.843517620433238e-06, 'epoch': 1.93}
{'loss': 0.1401, 'learning_rate': 7.778855480116392e-06, 'epoch': 1.94}
{'loss': 0.196, 'learning_rate': 7.714193339799548e-06, 'epoch': 1.95}
{'loss': 0.1261, 'learning_rate': 7.649531199482703e-06, 'epoch': 1.95}
{'loss': 0.0879, 'learning_rate': 7.584869059165859e-06, 'epoch': 1.96}
{'loss': 0.1044, 'learning_rate': 7.5202069188490145e-06, 'epoch': 1.97}
{'loss': 0.2732, 'learning_rate': 7.45554477853217e-06, 'epoch': 1.98}
{'loss': 0.2199, 'learning_rate': 7.390882638215326e-06, 'epoch': 1.99}
{'loss': 0.105, 'learning_rate': 7.3262204978984804e-06, 'epoch': 2.0}
{'eval_loss': 0.3149794340133667, 'eval_runtime': 134.263, 'eval_samples_per_second': 23.774, 'eval_steps_per_second': 1.49, 'epoch': 2.0}
{'loss': 0.0824, 'learning_rate': 7.261558357581636e-06, 'epoch': 2.01}
{'loss': 0.0408, 'learning_rate': 7.196896217264792e-06, 'epoch': 2.02}
{'loss': 0.063, 'learning_rate': 7.132234076947948e-06, 'epoch': 2.02}
{'loss': 0.0975, 'learning_rate': 7.067571936631104e-06, 'epoch': 2.03}
{'loss': 0.0172, 'learning_rate': 7.002909796314259e-06, 'epoch': 2.04}
{'loss': 0.0692, 'learning_rate': 6.938247655997414e-06, 'epoch': 2.05}
{'loss': 0.0233, 'learning_rate': 6.87358551568057e-06, 'epoch': 2.06}
{'loss': 0.0478, 'learning_rate': 6.808923375363725e-06, 'epoch': 2.07}
{'loss': 0.1082, 'learning_rate': 6.744261235046881e-06, 'epoch': 2.08}
{'loss': 0.1064, 'learning_rate': 6.679599094730036e-06, 'epoch': 2.09}
{'loss': 0.0185, 'learning_rate': 6.614936954413191e-06, 'epoch': 2.1}
{'loss': 0.0534, 'learning_rate': 6.550274814096347e-06, 'epoch': 2.1}
{'loss': 0.0542, 'learning_rate': 6.485612673779502e-06, 'epoch': 2.11}
{'loss': 0.0289, 'learning_rate': 6.420950533462658e-06, 'epoch': 2.12}
{'loss': 0.0655, 'learning_rate': 6.356288393145814e-06, 'epoch': 2.13}
{'loss': 0.0359, 'learning_rate': 6.29162625282897e-06, 'epoch': 2.14}
{'loss': 0.0082, 'learning_rate': 6.226964112512125e-06, 'epoch': 2.15}
{'loss': 0.0973, 'learning_rate': 6.16230197219528e-06, 'epoch': 2.16}
{'loss': 0.0899, 'learning_rate': 6.097639831878436e-06, 'epoch': 2.17}
{'loss': 0.0781, 'learning_rate': 6.0329776915615915e-06, 'epoch': 2.18}
{'loss': 0.1102, 'learning_rate': 5.968315551244746e-06, 'epoch': 2.18}
{'loss': 0.0206, 'learning_rate': 5.903653410927902e-06, 'epoch': 2.19}
{'loss': 0.014, 'learning_rate': 5.838991270611057e-06, 'epoch': 2.2}
{'loss': 0.0495, 'learning_rate': 5.774329130294213e-06, 'epoch': 2.21}
{'loss': 0.0731, 'learning_rate': 5.709666989977369e-06, 'epoch': 2.22}
{'loss': 0.076, 'learning_rate': 5.645004849660525e-06, 'epoch': 2.23}
{'loss': 0.1002, 'learning_rate': 5.58034270934368e-06, 'epoch': 2.24}
{'loss': 0.0478, 'learning_rate': 5.515680569026835e-06, 'epoch': 2.25}
{'loss': 0.0407, 'learning_rate': 5.451018428709991e-06, 'epoch': 2.25}
{'loss': 0.1057, 'learning_rate': 5.386356288393147e-06, 'epoch': 2.26}
{'loss': 0.0405, 'learning_rate': 5.321694148076302e-06, 'epoch': 2.27}
{'loss': 0.0366, 'learning_rate': 5.257032007759457e-06, 'epoch': 2.28}
{'loss': 0.0401, 'learning_rate': 5.1923698674426125e-06, 'epoch': 2.29}
{'loss': 0.0798, 'learning_rate': 5.127707727125768e-06, 'epoch': 2.3}
{'loss': 0.0431, 'learning_rate': 5.063045586808924e-06, 'epoch': 2.31}
{'loss': 0.0945, 'learning_rate': 4.998383446492079e-06, 'epoch': 2.32}
{'loss': 0.0721, 'learning_rate': 4.933721306175235e-06, 'epoch': 2.33}
{'loss': 0.0479, 'learning_rate': 4.8690591658583905e-06, 'epoch': 2.33}
{'loss': 0.0208, 'learning_rate': 4.804397025541545e-06, 'epoch': 2.34}
{'loss': 0.0741, 'learning_rate': 4.739734885224702e-06, 'epoch': 2.35}
{'loss': 0.0791, 'learning_rate': 4.675072744907857e-06, 'epoch': 2.36}
{'loss': 0.0489, 'learning_rate': 4.610410604591012e-06, 'epoch': 2.37}
{'loss': 0.1238, 'learning_rate': 4.545748464274168e-06, 'epoch': 2.38}
{'loss': 0.0967, 'learning_rate': 4.481086323957323e-06, 'epoch': 2.39}
{'loss': 0.0557, 'learning_rate': 4.416424183640479e-06, 'epoch': 2.4}
{'loss': 0.1199, 'learning_rate': 4.351762043323634e-06, 'epoch': 2.4}
{'loss': 0.0556, 'learning_rate': 4.28709990300679e-06, 'epoch': 2.41}
{'loss': 0.0566, 'learning_rate': 4.222437762689946e-06, 'epoch': 2.42}
{'loss': 0.0119, 'learning_rate': 4.157775622373101e-06, 'epoch': 2.43}
{'loss': 0.0383, 'learning_rate': 4.093113482056256e-06, 'epoch': 2.44}
{'loss': 0.0258, 'learning_rate': 4.0284513417394115e-06, 'epoch': 2.45}
{'loss': 0.0405, 'learning_rate': 3.963789201422568e-06, 'epoch': 2.46}
{'loss': 0.039, 'learning_rate': 3.899127061105723e-06, 'epoch': 2.47}
{'loss': 0.0393, 'learning_rate': 3.834464920788878e-06, 'epoch': 2.48}
{'loss': 0.0837, 'learning_rate': 3.769802780472034e-06, 'epoch': 2.48}
{'loss': 0.0867, 'learning_rate': 3.705140640155189e-06, 'epoch': 2.49}
{'loss': 0.0825, 'learning_rate': 3.6404784998383447e-06, 'epoch': 2.5}
{'loss': 0.092, 'learning_rate': 3.5758163595215007e-06, 'epoch': 2.51}
{'loss': 0.0699, 'learning_rate': 3.511154219204656e-06, 'epoch': 2.52}
{'loss': 0.0044, 'learning_rate': 3.4464920788878115e-06, 'epoch': 2.53}
{'loss': 0.0931, 'learning_rate': 3.381829938570967e-06, 'epoch': 2.54}
{'loss': 0.0921, 'learning_rate': 3.3171677982541222e-06, 'epoch': 2.55}
{'loss': 0.0912, 'learning_rate': 3.2525056579372782e-06, 'epoch': 2.56}
{'loss': 0.0415, 'learning_rate': 3.187843517620434e-06, 'epoch': 2.56}
{'loss': 0.0068, 'learning_rate': 3.123181377303589e-06, 'epoch': 2.57}
{'loss': 0.0419, 'learning_rate': 3.0585192369867446e-06, 'epoch': 2.58}
{'loss': 0.0573, 'learning_rate': 2.9938570966698998e-06, 'epoch': 2.59}
{'loss': 0.1053, 'learning_rate': 2.9291949563530554e-06, 'epoch': 2.6}
{'loss': 0.0825, 'learning_rate': 2.8645328160362114e-06, 'epoch': 2.61}
{'loss': 0.0632, 'learning_rate': 2.7998706757193666e-06, 'epoch': 2.62}
{'loss': 0.059, 'learning_rate': 2.735208535402522e-06, 'epoch': 2.63}
{'loss': 0.0462, 'learning_rate': 2.6705463950856773e-06, 'epoch': 2.63}
{'loss': 0.0796, 'learning_rate': 2.605884254768833e-06, 'epoch': 2.64}
{'loss': 0.0799, 'learning_rate': 2.541222114451988e-06, 'epoch': 2.65}
{'loss': 0.1003, 'learning_rate': 2.476559974135144e-06, 'epoch': 2.66}
{'loss': 0.0612, 'learning_rate': 2.4118978338182997e-06, 'epoch': 2.67}
{'loss': 0.1411, 'learning_rate': 2.347235693501455e-06, 'epoch': 2.68}
{'loss': 0.0579, 'learning_rate': 2.2825735531846105e-06, 'epoch': 2.69}
{'loss': 0.0261, 'learning_rate': 2.217911412867766e-06, 'epoch': 2.7}
{'loss': 0.0801, 'learning_rate': 2.1532492725509217e-06, 'epoch': 2.71}
{'loss': 0.0664, 'learning_rate': 2.088587132234077e-06, 'epoch': 2.71}
{'loss': 0.1448, 'learning_rate': 2.023924991917233e-06, 'epoch': 2.72}
{'loss': 0.002, 'learning_rate': 1.959262851600388e-06, 'epoch': 2.73}
{'loss': 0.0158, 'learning_rate': 1.8946007112835434e-06, 'epoch': 2.74}
